C:\Users\DELL\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0\LocalCache\local-packages\Python39\site-packages\requests\__init__.py:89: RequestsDependencyWarning: urllib3 (2.6.3) or chardet (3.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
2026-02-16 22:27:08,557 - sysid-experiment - INFO -   Collected 58 samples
2026-02-16 22:27:08,557 - sysid-experiment - INFO -   Settling for 10s...
2026-02-16 22:27:18,934 - sysid-experiment - INFO - Step 14/400: batch_size=10, poll_interval=700ms
2026-02-16 22:27:28,488 - sysid-experiment - INFO -   Sample 10: queue=122100, cpu=0.0%, mem=19.4%, io=0
2026-02-16 22:27:38,988 - sysid-experiment - INFO -   Sample 20: queue=123750, cpu=7.3%, mem=19.4%, io=330157
2026-02-16 22:27:49,520 - sysid-experiment - INFO -   Sample 30: queue=125292, cpu=5.4%, mem=19.4%, io=277833
2026-02-16 22:28:00,006 - sysid-experiment - INFO -   Sample 40: queue=126900, cpu=5.5%, mem=19.4%, io=422413
2026-02-16 22:28:10,524 - sysid-experiment - INFO -   Sample 50: queue=128400, cpu=8.6%, mem=19.4%, io=584292
2026-02-16 22:28:19,938 - sysid-experiment - INFO -   Collected 58 samples
2026-02-16 22:28:19,938 - sysid-experiment - INFO -   Settling for 10s...
2026-02-16 22:28:30,393 - sysid-experiment - INFO - Step 15/400: batch_size=10, poll_interval=750ms
2026-02-16 22:28:39,932 - sysid-experiment - INFO -   Sample 10: queue=132750, cpu=0.0%, mem=19.5%, io=0
2026-02-16 22:28:50,470 - sysid-experiment - INFO -   Sample 20: queue=134250, cpu=0.0%, mem=19.5%, io=0
2026-02-16 22:29:00,898 - sysid-experiment - INFO -   Sample 30: queue=135750, cpu=11.5%, mem=19.4%, io=411208
2026-02-16 22:29:11,261 - sysid-experiment - INFO -   Sample 40: queue=137400, cpu=9.5%, mem=19.4%, io=452886
2026-02-16 22:29:21,727 - sysid-experiment - INFO -   Sample 50: queue=138900, cpu=0.0%, mem=19.6%, io=0
2026-02-16 22:29:31,192 - sysid-experiment - INFO -   Collected 58 samples
2026-02-16 22:29:31,192 - sysid-experiment - INFO -   Settling for 10s...
2026-02-16 22:29:41,642 - sysid-experiment - INFO - Step 16/400: batch_size=10, poll_interval=800ms
2026-02-16 22:29:51,127 - sysid-experiment - INFO -   Sample 10: queue=143250, cpu=3.8%, mem=19.6%, io=242576
2026-02-16 22:30:01,608 - sysid-experiment - INFO -   Sample 20: queue=144750, cpu=0.0%, mem=19.4%, io=0
2026-02-16 22:30:12,101 - sysid-experiment - INFO -   Sample 30: queue=146250, cpu=8.8%, mem=19.5%, io=382477
2026-02-16 22:30:22,419 - sysid-experiment - INFO -   Sample 40: queue=147846, cpu=10.2%, mem=19.5%, io=443309
2026-02-16 22:30:32,875 - sysid-experiment - INFO -   Sample 50: queue=149400, cpu=7.3%, mem=19.5%, io=259313
2026-02-16 22:30:42,208 - sysid-experiment - INFO -   Collected 58 samples
2026-02-16 22:30:42,208 - sysid-experiment - INFO -   Settling for 10s...
2026-02-16 22:30:52,694 - sysid-experiment - INFO - Step 17/400: batch_size=10, poll_interval=850ms
2026-02-16 22:31:02,198 - sysid-experiment - INFO -   Sample 10: queue=153900, cpu=10.4%, mem=19.5%, io=363136
2026-02-16 22:31:12,603 - sysid-experiment - INFO -   Sample 20: queue=155400, cpu=0.0%, mem=19.5%, io=0
2026-02-16 22:31:23,167 - sysid-experiment - INFO -   Sample 30: queue=156900, cpu=4.0%, mem=19.5%, io=308131
2026-02-16 22:31:33,657 - sysid-experiment - INFO -   Sample 40: queue=158448, cpu=10.3%, mem=19.5%, io=432452
2026-02-16 22:31:44,040 - sysid-experiment - INFO -   Sample 50: queue=160050, cpu=12.1%, mem=19.5%, io=687491
2026-02-16 22:31:53,479 - sysid-experiment - INFO -   Collected 58 samples
2026-02-16 22:31:53,479 - sysid-experiment - INFO -   Settling for 10s...
2026-02-16 22:32:03,956 - sysid-experiment - INFO - Step 18/400: batch_size=10, poll_interval=900ms
2026-02-16 22:32:13,483 - sysid-experiment - INFO -   Sample 10: queue=164400, cpu=9.8%, mem=19.5%, io=554326
2026-02-16 22:32:24,016 - sysid-experiment - INFO -   Sample 20: queue=165900, cpu=6.4%, mem=19.5%, io=385930
2026-02-16 22:32:34,439 - sysid-experiment - INFO -   Sample 30: queue=167400, cpu=6.2%, mem=19.5%, io=422574
2026-02-16 22:32:45,003 - sysid-experiment - INFO -   Sample 40: queue=169050, cpu=5.4%, mem=19.6%, io=365893
2026-02-16 22:32:55,498 - sysid-experiment - INFO -   Sample 50: queue=170700, cpu=8.5%, mem=19.6%, io=664566
2026-02-16 22:33:04,926 - sysid-experiment - INFO -   Collected 58 samples
2026-02-16 22:33:04,926 - sysid-experiment - INFO -   Settling for 10s...
2026-02-16 22:33:15,480 - sysid-experiment - INFO - Step 19/400: batch_size=10, poll_interval=950ms
2026-02-16 22:33:24,976 - sysid-experiment - INFO -   Sample 10: queue=175050, cpu=15.8%, mem=19.5%, io=663951
2026-02-16 22:33:35,479 - sysid-experiment - INFO -   Sample 20: queue=176612, cpu=0.0%, mem=19.5%, io=0
2026-02-16 22:33:45,976 - sysid-experiment - INFO -   Sample 30: queue=178050, cpu=6.9%, mem=19.6%, io=411812
2026-02-16 22:33:56,407 - sysid-experiment - INFO -   Sample 40: queue=179700, cpu=5.8%, mem=19.6%, io=540602
2026-02-16 22:34:06,831 - sysid-experiment - INFO -   Sample 50: queue=181200, cpu=7.7%, mem=19.5%, io=501409
2026-02-16 22:34:16,238 - sysid-experiment - INFO -   Collected 58 samples
2026-02-16 22:34:16,238 - sysid-experiment - INFO -   Settling for 10s...
2026-02-16 22:34:26,694 - sysid-experiment - INFO - Step 20/400: batch_size=10, poll_interval=1000ms
2026-02-16 22:34:36,201 - sysid-experiment - INFO -   Sample 10: queue=185589, cpu=5.7%, mem=19.6%, io=472266
2026-02-16 22:34:46,773 - sysid-experiment - INFO -   Sample 20: queue=187050, cpu=5.6%, mem=19.6%, io=347870
2026-02-16 22:34:57,272 - sysid-experiment - INFO -   Sample 30: queue=188700, cpu=10.0%, mem=19.6%, io=815861
2026-02-16 22:35:07,813 - sysid-experiment - INFO -   Sample 40: queue=190200, cpu=5.5%, mem=19.6%, io=365073
2026-02-16 22:35:18,262 - sysid-experiment - INFO -   Sample 50: queue=191850, cpu=6.3%, mem=19.6%, io=590183
2026-02-16 22:35:27,704 - sysid-experiment - INFO -   Collected 58 samples
2026-02-16 22:35:27,704 - sysid-experiment - INFO -   Settling for 10s...
2026-02-16 22:35:38,211 - sysid-experiment - INFO - Step 21/400: batch_size=115, poll_interval=50ms
2026-02-16 22:35:47,684 - sysid-experiment - INFO -   Sample 10: queue=196200, cpu=0.0%, mem=19.6%, io=0
2026-02-16 22:35:58,250 - sysid-experiment - INFO -   Sample 20: queue=197700, cpu=0.0%, mem=19.6%, io=0
